ID;Method;Experimental_Object;Accuraty_Time;Accuracy;Evaluation;PU;PEOU;ITU
V1;VeGAn;H;25;64;4,48;4,75;3;4,5
V2;VeGAn;E;10;38,1;2,71;3;4,5;3
V3;VeGAn;H;9;76;3,8;1,75;1,5;1,5
V4;VeGAn;E;18;57,14;3,29;4;4,75;4
V5;VeGAn;H;17;32;3,28;3,5;4,25;5
V6;VeGAn;E;6;66,67;3,38;4,5;4,25;3,5
V7;VeGAn;E;21;42,86;3,48;2,5;5;3
V8;VeGAn;H;10;72;3,96;4,5;4;4
V9;VeGAn;E;17;52,38;3;3,5;4,25;2,5
V10;VeGAn;H;29;60;3,44;4;4,5;5
G1;GRL-Quant;E;9;61,9;3,52;3,5;3,5;3
G2;GRL-Quant;H;16;64;3,6;4;4,75;3,5
G3;GRL-Quant;H;10;60;4,28;2,25;3,25;2,5
G4;GRL-Quant;E;15;47,62;3,67;4,25;4;4,5
G5;GRL-Quant;E;11;71,43;3,19;4,5;5;4,5
G6;GRL-Quant;H;4;56;3,16;4;4,5;3,5
G7;GRL-Quant;E;22;76,19;3,1;2,5;2,5;3
G8;GRL-Quant;H;8;68;3,84;3,25;4,5;4
G9;GRL-Quant;E;14;57,14;3,52;3,25;4,5;3
G10;GRL-Quant;H;10;60;2,92;4;4,75;4
