ID;Method;Experimental_Object;Accuraty_Time;Accuracy;Evaluation;PEOU;PU;ITU
V1;VeGAn;E;14;76;3,29;4;4;4
V2;VeGAn;E;9;66;3,43;4;4,25;4
V3;VeGAn;E;13;76;3,48;4,25;4,5;4,5
V4;VeGAn;E;11;38;3,76;4,5;3;2
V5;VeGAn;E;18;52;4;4,5;3,5;4,5
V6;VeGAn;H;8;80;3,6;1,75;2,5;2
V7;VeGAn;H;9;72;3,68;3,75;3;3,5
V8;VeGAn;H;13;56;3,84;4,75;4;4,5
V9;VeGAn;H;7;76;3,96;5;3,75;4
V10;VeGAn;H;15;64;4,48;4,75;3;4,5
G1;GRL-Quant;E;6;52;2,29;3,5;3,5;3,5
G2;GRL-Quant;E;7;61;2,48;4,5;3,5;3
G3;GRL-Quant;E;11;47;3,52;5;3,75;4
G4;GRL-Quant;E;10;33;3;4;3,75;4
G5;GRL-Quant;E;10;66;3,24;4,25;2,75;2
G6;GRL-Quant;H;7;36;3,6;4,25;3,75;4
G7;GRL-Quant;H;8;48;3,64;4,5;3,5;3,5
G8;GRL-Quant;H;10;48;3,76;4,75;4,75;3,5
G9;GRL-Quant;H;13;48;3,84;4,25;4,75;4
G10;GRL-Quant;H;9;52;3,92;4;3,75;3,5
